BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, InlineBackupTime(ms), OfflineBackupTime(ms)
86, 169.182, 5.7438, 4.38742, 1018951680, 5096945946, 5050182015, 57.2472, 127.171, 10.1611, 136.763, 293.414, 
87, 165.302, 5.87928, 4.40437, 1019064320, 5165956274, 5063904239, 126.33, 127.161, 10.3348, 191.25, 591.44, 
88, 164.866, 5.89522, 4.42113, 1019136000, 5180234696, 5076841747, 141.797, 127.326, 10.5092, 206.048, 1187.5, 
89, 164.937, 5.89311, 4.43748, 1019207680, 5213343941, 5091911342, 191.901, 128.043, 10.6782, 192.785, 1250.59, 
90, 163.556, 5.94294, 4.45402, 1019217920, 5231336113, 5105041920, 218.23, 129.034, 10.8504, 194.3, 1651.74, 
91, 160.973, 6.03841, 4.47125, 1019238400, 5241753883, 5144095199, 240.597, 130.247, 10.9662, 243.55, 1935.58, 
92, 159.958, 6.34302, 4.49137, 1063905280, 5310121961, 5171696212, 258.838, 131.629, 11.1134, 202.432, 2040.2, 
93, 164.622, 6.16332, 4.50916, 1063905280, 5308360043, 5183728861, 257.003, 132.963, 11.2928, 214.689, 2861.71, 
94, 166.834, 6.08189, 4.52571, 1063956480, 5320828740, 5195932862, 276.751, 134.477, 11.4711, 220.122, 2163.87, 
95, 165.017, 6.14941, 4.54263, 1064048640, 5338406128, 5209263225, 311.061, 136.316, 11.646, 204.697, 2366.04, 
96, 166.398, 6.09853, 4.55867, 1064079360, 5354026167, 5223417282, 322.393, 138.235, 11.8181, 216.641, 2713.17, 
97, 167.542, 6.05719, 4.57396, 1064130560, 5366868893, 5234455219, 345.359, 140.348, 11.9965, 199.973, 2843.45, 
98, 167.842, 6.04673, 4.58884, 1064192000, 5378444589, 5245400523, 380.359, 142.772, 12.1743, 189.819, 2977.71, 
99, 166.498, 6.09566, 4.6039, 1064212480, 5394916131, 5302655400, 400.587, 145.351, 12.2436, 209.411, 3186.74, 
100, 160.279, 6.36701, 4.62136, 1070069760, 5473770414, 5354136829, 416.728, 148.037, 12.3257, 220.694, 3480.83, 
101, 166.955, 6.11265, 4.63598, 1070110720, 5494849720, 5343562874, 398.433, 150.492, 12.5504, 211.525, 4056.99, 
102, 164.815, 6.19238, 4.65109, 1070172160, 5493420534, 5350238339, 432.798, 153.233, 12.7347, 199.428, 3315.47, 
103, 165.714, 6.15883, 4.66559, 1070182400, 5497574670, 5359918631, 444.987, 156.038, 12.9114, 212.646, 3908.97, 
104, 165.718, 6.15912, 4.67981, 1070254080, 5509168655, 5370787160, 473.665, 159.063, 13.0845, 217.39, 4190.9, 
105, 165.589, 6.16394, 4.69381, 1070264320, 5516263056, 5379901797, 481.745, 162.108, 13.2613, 206.562, 4169.27, 
106, 148.407, 6.87787, 4.71423, 1070305280, 5528681738, 5391573858, 507.594, 165.336, 13.4311, 201.589, 4505.5, 
107, 167.369, 6.09869, 4.72704, 1070315520, 5538944658, 5400388911, 531.801, 168.73, 13.6074, 185.237, 4375.62, 
108, 165.656, 6.16176, 4.74021, 1070315520, 5547781814, 5468726320, 571.054, 172.421, 13.6331, 182.348, 4530.99, 
109, 159.946, 6.50787, 4.75628, 1091471360, 5643099443, 5477178726, 558.592, 175.931, 13.8113, 211.58, 4786.31, 
110, 163.525, 6.36561, 4.77078, 1091502080, 5625094053, 5487231147, 554.03, 179.338, 13.9849, 213.474, 6128.95, 
111, 164.714, 6.31983, 4.78461, 1091532800, 5634043555, 5496721708, 561.82, 182.753, 14.1594, 221.283, 5189.66, 
112, 166.955, 6.2357, 4.79745, 1091655680, 5637974113, 5506277929, 561.436, 186.104, 14.333, 215.281, 5227.37, 
113, 166.544, 6.25128, 4.8102, 1091686400, 5656303693, 5516452261, 603.528, 189.765, 14.5045, 206.961, 5063.84, 
114, 166.787, 6.24234, 4.82265, 1091717120, 5658504065, 5526846846, 598.573, 193.32, 14.6747, 225.088, 6011.15, 
115, 165.836, 6.27844, 4.8352, 1091768320, 5683811194, 5545413873, 590.634, 196.745, 14.8225, 183.945, 5222.83, 
116, 166.248, 6.26294, 4.84741, 1091778560, 5695341398, 5626612785, 649.035, 200.611, 14.8026, 183.262, 5825.44, 
117, 144.793, 7.42002, 4.86921, 1126553600, 5840941616, 5651793775, 710.749, 204.934, 14.936, 273.96, 6948.81, 
118, 165.243, 6.50174, 4.88293, 1126553600, 5801595418, 5661110097, 655.218, 208.718, 15.1104, 250.054, 9791.78, 
119, 160.171, 6.70785, 4.89813, 1126594560, 5813635825, 5671165952, 681.453, 212.658, 15.2823, 260.389, 6292.4, 
120, 161.779, 6.64155, 4.91254, 1126656000, 5824069083, 5681118538, 713.797, 216.799, 15.4538, 221.657, 6706.21, 
121, 162.272, 6.62161, 4.92655, 1126696960, 5834097743, 5692953541, 709.59, 220.839, 15.6196, 242.523, 7109.61, 
122, 160.419, 6.69822, 4.94096, 1126717440, 5839132570, 5702037580, 703.596, 224.764, 15.7923, 265.886, 7614.92, 
123, 166.895, 6.43838, 4.95303, 1126727680, 5856212465, 5712706698, 755.124, 229.041, 15.9601, 248.62, 6733.2, 
124, 166.702, 6.44587, 4.96497, 1126737920, 5865713401, 5804494724, 781.302, 233.459, 15.9018, 247.256, 8531.44, 
125, 150.838, 7.1872, 4.98261, 1136762880, 6010331001, 5810723553, 805.785, 238.001, 16.0804, 258.171, 8490.14, 
126, 164.917, 6.57385, 4.99514, 1136803840, 5964783506, 5818204899, 804.814, 242.464, 16.2551, 266.197, 11393.4, 
127, 166.449, 6.51365, 5.007, 1136855040, 5973418572, 5826862528, 824.915, 247.014, 16.426, 258.653, 8029.69, 
128, 165.996, 6.53171, 5.01882, 1136906240, 5982378487, 5837977427, 814.531, 251.414, 16.5895, 285.442, 8648.24, 
129, 164.99, 6.57171, 5.03077, 1136936960, 5994258799, 5849617375, 852.691, 256.039, 16.7509, 243.909, 8757.53, 
130, 165.942, 6.53425, 5.04225, 1136977920, 6004315925, 5858548229, 859.103, 260.643, 16.9194, 274.459, 10056.1, 
131, 166.318, 6.51965, 5.05344, 1137008640, 6007575150, 5868318149, 835.261, 264.996, 17.085, 253.626, 9459.54, 
132, 167.253, 6.48325, 5.06419, 1137018880, 6023689223, 5970855169, 879.068, 269.613, 16.982, 276.955, 8867.07, 
133, 150.725, 7.2879, 5.08078, 1151825920, 6183765747, 5973372653, 918.872, 274.458, 17.1677, 252.123, 10048.8, 
134, 165.822, 6.62466, 5.09222, 1151877120, 6132620759, 5980356589, 899.56, 279.088, 17.3402, 242.088, 14701.4, 
135, 165.678, 6.63018, 5.10353, 1151836160, 6135311347, 5991337812, 885.087, 283.544, 17.5007, 249.798, 10979.1, 
136, 168.531, 6.51825, 5.11385, 1151887360, 6145885516, 6000795923, 896.097, 288.015, 17.6651, 220.941, 9137.7, 
137, 168.086, 6.53585, 5.12416, 1151948800, 6158417123, 6010751055, 923.34, 292.619, 17.8275, 239.246, 9754.16, 
138, 169.738, 6.47241, 5.13386, 1151979520, 6167867006, 6019641164, 950.405, 297.352, 17.9925, 206.207, 11203.3, 
139, 166.275, 6.60734, 5.14438, 1152000000, 6176253790, 6029559555, 971.728, 302.169, 18.154, 282.396, 11753.9, 
140, 167.371, 6.56418, 5.15445, 1152020480, 6176982017, 6038673736, 974.8, 306.939, 18.3174, 235.66, 11533, 
141, 168.486, 6.5208, 5.16408, 1152030720, 6196735563, 6155693182, 1019.22, 311.955, 18.1563, 237.207, 10160.3, 
142, 151.916, 7.27956, 5.17887, 1159598080, 6363722001, 6143125419, 1068.8, 317.248, 18.3822, 261.132, 12218.4, 
143, 165.833, 6.6691, 5.18922, 1159680000, 6302799651, 6150479282, 1028.8, 322.189, 18.5488, 269.937, 16172.8, 
