BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
136,47.8237,22.9703,12.033,1151887360,6223317206,6223317206,2.30E-05,2.43E-05,17.0335, -nan
137,46.5622,23.5939,12.1168,1151948800,6239788054,6239788054,2.20E-05,2.43E-05,17.1731, -nan
138,48.1809,22.8019,12.1937,1151979520,6255521642,6255521642,3.00E-05,2.43E-05,17.3141, -nan
139,46.5752,23.5884,12.2751,1152000000,6271566436,6271566436,3.00E-05,2.44E-05,17.4535, -nan
140,45.8746,23.949,12.3579,1152020480,6287053656,6287053656,2.70E-05,2.44E-05,17.5937, -nan
141,44.6682,24.596,12.4441,1152030720,6305536435,6305536435,2.60E-05,2.44E-05,17.7248, -nan
142,43.5411,25.3985,12.5346,1159598080,6358518339,6358518339,2.50E-05,2.44E-05,17.7595, -nan
143,46.9614,23.5504,12.6111,1159680000,6378181438,6378181438,2.90E-05,2.44E-05,17.8866, -nan
144,45.8582,24.1184,12.6905,1159751680,6395881819,6395881819,2.60E-05,2.44E-05,18.0184, -nan
145,44.3876,24.9179,12.7743,1159772160,6412638361,6412638361,2.40E-05,2.44E-05,18.1522, -nan
146,45.4714,24.3244,12.8528,1159792640,6429368808,6429368808,3.10E-05,2.45E-05,18.2853, -nan
147,44.3951,24.9148,12.9343,1159823360,6445871184,6445871184,2.20E-05,2.45E-05,18.4185, -nan
148,43.9051,25.1935,13.0166,1159854080,6462050890,6462050890,2.20E-05,2.45E-05,18.5518, -nan
149,43.619,25.3601,13.0989,1159915520,6478449283,6478449283,2.20E-05,2.44E-05,18.6839, -nan
150,43.5723,25.3872,13.1803,1159915520,6500216546,6500216546,2.40E-05,2.44E-05,18.7998, -nan
151,42.4959,27.2685,13.273,1215088640,6562602717,6562602717,2.30E-05,2.44E-05,18.8062, -nan
152,46.6819,24.8239,13.3485,1215119360,6584547483,6584547483,2.40E-05,2.44E-05,18.9281, -nan
153,44.3833,26.11,13.4313,1215139840,6604187646,6604187646,3.70E-05,2.45E-05,19.0558, -nan
154,44.382,26.1112,13.5131,1215160320,6620624575,6620624575,3.10E-05,2.45E-05,19.192, -nan
155,44.4097,26.0956,13.5938,1215191040,6638114134,6638114134,2.70E-05,2.46E-05,19.3245, -nan
156,43.7292,26.5023,13.676,1215221760,6654062031,6654062031,2.30E-05,2.46E-05,19.4608, -nan
157,43.1405,26.8646,13.7595,1215252480,6670084548,6670084548,2.90E-05,2.46E-05,19.5963, -nan
158,43.0744,26.9066,13.8422,1215283200,6689748458,6689748458,2.80E-05,2.46E-05,19.7203, -nan
159,41.546,29.1288,13.9377,1268971520,6754417464,6754417464,2.50E-05,2.46E-05,19.7194, -nan
160,45.8495,26.3958,14.0151,1269022720,6773875644,6773875644,2.70E-05,2.46E-05,19.8501, -nan
161,44.3397,27.2953,14.0971,1269053440,6791482327,6791482327,2.20E-05,2.46E-05,19.9855, -nan
162,43.8568,27.5972,14.1799,1269114880,6810413094,6810413094,2.30E-05,2.46E-05,20.1163, -nan
163,43.8157,27.6237,14.2619,1269145600,6827984252,6827984252,2.30E-05,2.46E-05,20.2504, -nan
164,42.8308,28.2598,14.3467,1269186560,6844337907,6844337907,3.10E-05,2.46E-05,20.3875, -nan
165,42.5719,28.4333,14.4316,1269258240,6860303421,6860303421,2.50E-05,2.46E-05,20.525, -nan
166,43.2158,28.0106,14.5129,1269299200,6876874148,6876874148,2.10E-05,2.46E-05,20.6601, -nan
167,41.9624,28.8472,14.5982,1269299200,6896589242,6896589242,2.50E-05,2.46E-05,20.7851, -nan
168,41.9441,30.4707,14.6921,1340149760,6965551571,6965551571,2.40E-05,2.46E-05,20.7717, -nan
169,45.3479,28.1859,14.7715,1340262400,6988973165,6988973165,3.00E-05,2.46E-05,20.8939, -nan
170,44.3319,28.8328,14.8537,1340303360,7010225266,7010225266,3.40E-05,2.47E-05,21.0217, -nan
171,43.6282,29.2988,14.9377,1340344320,7030678162,7030678162,2.90E-05,2.47E-05,21.1512, -nan
172,42.9765,29.7437,15.0233,1340375040,7050362910,7050362910,2.10E-05,2.47E-05,21.2823, -nan
173,43.0491,29.6936,15.1076,1340375040,7069415661,7069415661,2.90E-05,2.47E-05,21.4145, -nan
174,43.0938,29.6632,15.1908,1340395520,7089220856,7089220856,2.10E-05,2.47E-05,21.5438, -nan
175,42.5164,30.0665,15.2753,1340416000,7109793055,7109793055,2.30E-05,2.47E-05,21.67, -nan
176,40.6224,31.8806,15.3691,1357977600,7167731454,7167731454,2.10E-05,2.47E-05,21.6843, -nan
177,43.493,29.7772,15.45,1358008320,7190096755,7190096755,2.50E-05,2.47E-05,21.8057, -nan
178,43.1363,30.025,15.5315,1358080000,7211576451,7211576451,2.30E-05,2.47E-05,21.9291, -nan
179,42.1825,30.7055,15.6158,1358151680,7231765783,7231765783,3.10E-05,2.47E-05,22.0557, -nan
180,41.6412,31.1058,15.7014,1358202880,7252000134,7252000134,2.60E-05,2.47E-05,22.1814, -nan
181,41.0984,31.5176,15.7883,1358243840,7271760979,7271760979,2.80E-05,2.47E-05,22.3079, -nan
182,41.1676,31.4653,15.8739,1358274560,7290569679,7290569679,2.40E-05,2.47E-05,22.4367, -nan
183,40.8908,31.6788,15.9598,1358295040,7309165441,7309165441,1.90E-05,2.47E-05,22.5654, -nan
