Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
6,8191,0.190035,0.849628,-0.00180288,0.010279,0.0282358,0.88634,0.328959,0.0100573,0.0373609,0.0511317,0.0102709,57337.000000
7,8191,0.188274,0.850156,-0.00147006,0.0103701,0.0271093,0.886166,0.317892,0.0099099,0.0345103,0.0498108,0.00987196,65528.000000
8,8191,0.189106,0.850595,-0.000989394,0.0104854,0.0261637,0.886255,0.307981,0.0098053,0.0323095,0.049111,0.00952085,73719.000000
9,8191,0.1878,0.850684,-0.000990784,0.0105794,0.0252528,0.885526,0.298754,0.00972021,0.0304261,0.0482534,0.00918114,81910.000000
10,8191,0.186642,0.850542,-0.0011711,0.010722,0.0250356,0.885128,0.298124,0.00973894,0.0291796,0.0484692,0.00909575,90101.000000
11,8191,0.187429,0.850806,-0.0012188,0.0108334,0.0243781,0.884799,0.290976,0.0096808,0.0277599,0.047897,0.00884703,98292.000000
12,8191,0.186697,0.85138,-0.000853146,0.0109747,0.0240649,0.885567,0.287659,0.00968481,0.0267344,0.0476992,0.00871764,106483.000000
13,8191,0.187376,0.851486,-0.000894354,0.0111592,0.024421,0.886172,0.289078,0.0097557,0.0259878,0.0482074,0.00872091,114674.000000
14,8191,0.187878,0.851715,-0.000694556,0.0113207,0.0241113,0.886452,0.28654,0.00976827,0.0251927,0.0483409,0.0086129,122865.000000
15,8191,0.188426,0.851788,-0.000733556,0.0114944,0.023802,0.886351,0.284247,0.00977979,0.0244836,0.0498664,0.00850693,131056.000000
16,8191,0.189,0.851818,-0.000860566,0.0117228,0.0237513,0.886431,0.284823,0.00979646,0.0239278,0.050567,0.00850525,139247.000000
17,8191,0.189553,0.851811,-0.00104512,0.0119617,0.0237379,0.886465,0.286015,0.00982218,0.0234489,0.0511377,0.00851164,147438.000000
18,8191,0.188851,0.852022,-0.00103352,0.0121353,0.023656,0.88678,0.285952,0.00982704,0.0230233,0.051411,0.00849149,155629.000000
19,8191,0.189205,0.851964,-0.00117083,0.0123101,0.0234724,0.886576,0.284648,0.00981502,0.0225195,0.0515479,0.00842857,163820.000000
0,8191,0.179747,0.862406,0.00115697,0.0104891,0.103938,0.97799,1.11046,0.0187304,0.176973,0.123575,0.0389509,8191.000000
1,8191,0.188435,0.861223,0.00238969,0.0106483,0.0581719,0.932433,0.630255,0.0133008,0.0943111,0.0810695,0.0215702,16382.000000
2,8191,0.191879,0.857718,6.74406e-05,0.0104235,0.0440369,0.912246,0.490604,0.0118148,0.0677786,0.0666007,0.0162595,24573.000000
3,8191,0.193634,0.857327,0.00016338,0.0103009,0.0365083,0.9043,0.411084,0.0109419,0.0539693,0.0590528,0.0133879,32764.000000
4,8191,0.190384,0.857829,0.00100614,0.0102936,0.0331681,0.902297,0.369867,0.0105391,0.0461082,0.0547012,0.0119509,40955.000000
5,8191,0.191698,0.857638,0.0009035,0.0104059,0.0308868,0.899834,0.349903,0.0103474,0.041022,0.0542111,0.0111444,49146.000000
6,8191,0.190028,0.856921,0.00020477,0.0104832,0.0286322,0.896241,0.328439,0.0100802,0.0371333,0.0522571,0.0103167,57337.000000
7,8191,0.190843,0.856524,-0.000232828,0.0106239,0.0274106,0.894326,0.317397,0.00995828,0.0342882,0.0509669,0.00989345,65528.000000
8,8191,0.190525,0.856821,-0.000177184,0.0107323,0.0264304,0.893807,0.307521,0.00986092,0.0321025,0.0502371,0.00953025,73719.000000
9,8191,0.191332,0.856428,-0.00068742,0.010829,0.0254573,0.892027,0.298287,0.00977501,0.030221,0.0493353,0.00917132,81910.000000
10,8191,0.191914,0.856591,-0.000554137,0.0109864,0.0252934,0.892317,0.297683,0.00980418,0.0290079,0.0496843,0.00909931,90101.000000
11,8191,0.192342,0.856444,-0.000509786,0.0110911,0.0246556,0.891681,0.290572,0.00975071,0.0276087,0.0491403,0.00885589,98292.000000
12,8191,0.191231,0.856592,-7.04525e-05,0.0112182,0.0243607,0.892101,0.287278,0.00975462,0.0265981,0.0489341,0.00873537,106483.000000
13,8191,0.191707,0.856079,-0.000368599,0.0113942,0.0246924,0.891797,0.2887,0.009821,0.0258517,0.0494942,0.00873648,114674.000000
14,8191,0.192152,0.855664,-0.000754915,0.0115677,0.0243143,0.890791,0.286162,0.00983874,0.0250492,0.0496779,0.00861317,122865.000000
15,8191,0.192467,0.855433,-0.00077766,0.0117175,0.023997,0.890369,0.283864,0.00985002,0.024352,0.0512376,0.00850961,131056.000000
16,8191,0.191623,0.855565,-0.000510615,0.0119162,0.0239943,0.890965,0.284464,0.00986066,0.0238206,0.0519365,0.00852333,139247.000000
17,8191,0.190789,0.855357,-0.00062668,0.0121003,0.0239784,0.890809,0.285649,0.00987604,0.0233544,0.0524457,0.00852869,147438.000000
18,8191,0.190125,0.855269,-0.000614398,0.0122902,0.0238988,0.890843,0.285622,0.00988938,0.0229342,0.0527796,0.00850918,155629.000000
19,8191,0.190513,0.854828,-0.000931755,0.0124786,0.0237036,0.890079,0.284327,0.00988272,0.0224335,0.0529944,0.00844016,163820.000000
0,8191,0.17849,0.86129,0.00557867,0.0107026,0.107772,0.985344,1.11373,0.0191549,0.178034,0.126855,0.0402879,8191.000000
1,8191,0.188278,0.857853,0.00264566,0.0108155,0.0590384,0.930353,0.631545,0.013503,0.094496,0.0817629,0.0218957,16382.000000
2,8191,0.190477,0.856232,0.00164999,0.0104792,0.0449047,0.913266,0.491524,0.0119149,0.0679962,0.0668863,0.0165791,24573.000000
3,8191,0.187661,0.856696,0.00135631,0.0103021,0.0370601,0.905415,0.411772,0.0110151,0.0541417,0.0585948,0.0136087,32764.000000
4,8191,0.189443,0.856512,0.00135422,0.0103467,0.0335328,0.901745,0.370419,0.0106074,0.0461884,0.0543857,0.0121018,40955.000000
5,8191,0.190919,0.855994,0.00122192,0.0104313,0.0311653,0.898812,0.350367,0.01039,0.0410949,0.0537913,0.0112581,49146.000000
