Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
107,4.48279,0,0,5162023902,5010419003,27200027,24131339,105705,8841866,4179847,334387760,206457344,196487296,218126669,115728960,73485219840
108,4.55417,0,0,5170993800,5022371157,28075532,24958824,107352,8979067,4230278,338422240,206822400,199560576,225138936,117311264,74555535360
109,4.77251,0,0,5200565463,5060432821,28901223,25739541,109904,9118659,4285082,342806560,208611072,202439168,231757216,118839936,75647006720
110,4.58767,0,0,5223355885,5072933634,29756895,26547595,111699,9258267,4336213,346897040,209178816,205486848,238611559,120550304,76738508800
111,4.62042,0,0,5235326115,5083763015,30649883,27392600,113617,9397878,4387209,350976720,209655104,208557824,245765053,122152224,77830041600
112,4.63898,0,0,5246380744,5093625564,31576299,28270666,115358,9537501,4438231,355058480,210071616,211652224,253185078,123756288,78921697280
113,4.65641,0,0,5255931213,5103860957,32538353,29184505,117251,9677136,4489194,359135520,210495104,214738176,260890975,125348736,80013383680
114,4.63179,0,0,5266156795,5114580622,33523824,30122072,119207,9816774,4540152,363212160,210976512,217804032,268784507,126930560,81105100800
115,4.62416,0,0,5277312622,5134814141,34419050,30972513,121714,9956428,4591239,367299120,212054592,220670336,275958842,128447936,82196869120
116,4.58346,0,0,5296770145,5148362080,35466284,31971807,123577,10096075,4642169,371373520,212591936,223738688,284346029,130029536,83288647680
117,5.20606,0,0,5364264271,5210162122,36460945,32917279,127722,10239271,4707398,376591840,215524032,226886976,292324042,131739968,84415201280
118,4.78802,0,0,5375847156,5223677830,37475781,33884059,130018,10382472,4759302,380744160,216137856,229962624,300454210,133479328,85541754880
119,4.7165,0,0,5388628265,5235009277,38523827,34883491,132200,10525662,4811009,384880720,216610624,233074048,308849488,135109824,86668349440
120,4.69543,0,0,5399844154,5245366225,39610299,35921070,134226,10668864,4862690,389015200,217039296,236203264,317551394,136729984,87795005440
121,4.76482,0,0,5410019376,5257209547,40722171,36984406,136294,10812072,4914367,393149360,217540864,239309568,326456710,138336864,88921702400
122,4.67497,0,0,5421608574,5267107395,41862518,38076124,138498,10955274,4965966,397277280,218003712,242421888,335590506,139944928,90048419840
123,4.72698,0,0,5431309518,5277233000,43051433,39216172,140777,11098477,5017529,401402320,218424256,245549440,345113221,141554240,91175147520
124,4.75057,0,0,5442168775,5292394019,44266088,40381776,143023,11241713,5069377,405550160,218854528,248688960,354841675,143175328,92301885440
125,5.15648,0,0,5500155700,5343814614,45432685,41499361,147211,11386306,5131998,410559840,221319488,251826368,364195383,144854816,93438648320
126,4.73885,0,0,5510121939,5356944123,46630540,42648721,149514,11530889,5184203,414736240,221932032,254930048,373789738,146573856,94575452160
127,4.83955,0,0,5523763218,5366814318,47871837,43840381,151768,11675476,5236514,418921120,222341440,258106816,383731384,148231040,95712307200
128,4.77271,0,0,5533634011,5379379982,49111644,45031332,154195,11820075,5288837,423106960,222892416,261233728,393661975,149857248,96849213440
129,4.77437,0,0,5545523762,5391381391,50402748,46273504,156769,11964694,5341013,427281040,223420992,264365440,404003677,151474144,97986150400
130,4.76624,0,0,5557575360,5400761783,51739841,47561061,159082,12109300,5393176,431454080,223825344,267535744,414711986,153110272,99123128320
131,4.75617,0,0,5566874641,5409696323,53112562,48883889,161507,12253926,5445320,435625600,224154688,270728960,425705879,154756000,100260136960
132,4.71414,0,0,5575793481,5424712344,54495577,50217715,164112,12398548,5497542,439803360,224634752,273877056,436783024,156375264,101397155840
133,5.25448,0,0,5639449177,5479554890,55843026,51514501,168761,12545097,5562081,444966480,227179584,277119808,447585853,158110528,102548981760
134,4.83482,0,0,5647919269,5491688289,57193853,52815895,171459,12691644,5614873,449189840,227711168,280283520,458405959,159878464,103700858880
135,4.79013,0,0,5659939591,5503799743,58583097,54155487,174152,12838179,5667656,453412480,228210752,283461376,469533376,161535488,104852695040
136,4.78256,0,0,5671719806,5513371332,60010708,55532969,176677,12984719,5720356,457628480,228606528,286669632,480966881,163193856,106004582400
137,4.81359,0,0,5681836328,5522820804,61480830,56952753,179196,13131282,5773211,461856880,228986816,289891392,492740452,164853984,107156531200
138,4.82237,0,0,5690320710,5532389351,62986839,58408617,181821,13277837,5825817,466065360,229354304,293100672,504801649,166503936,108308510720
139,4.81273,0,0,5699773590,5542457184,64520121,59892013,184688,13424392,5878396,470271680,229764928,296293376,517082240,168142336,109460510720
140,4.81517,0,0,5709361323,5551315563,66080353,61402182,187211,13570948,5930869,474469520,230111424,299497408,529576711,169790304,110612531200
141,5.45783,0,0,5718237977,5565853667,67675584,62947534,189975,13717508,5983398,478671840,230524224,302689728,542352379,171425312,111764561920
142,5.2656,0,0,5776718661,5618779438,69215234,64436665,194807,13865135,6046844,483747520,232901760,305923136,554693723,173148064,112924160000
143,4.79515,0,0,5789060048,5632193404,70764340,65935974,198043,14012779,6100271,488021680,233493632,309110272,567102751,174921888,114083840000
144,4.77433,0,0,5801860911,5644004948,72353143,67474619,200970,14160436,6153532,492282560,233993536,312320384,579827810,176589664,115243591680
145,4.83178,0,0,5812972328,5654866479,73977220,69048369,203926,14308094,6206651,496532080,234421184,315541504,592835206,178254464,116403363840
146,4.85168,0,0,5823954190,5664807485,75638791,70659519,206764,14455751,6259771,500781680,234838400,318768448,606141964,179913920,117563156480
147,4.79716,0,0,5834046689,5674986482,77324624,72294952,209564,14603419,6312927,505034160,235268672,321994112,619642628,181571040,118722979840
148,4.83075,0,0,5843958389,5685428106,79023465,73943489,212773,14751091,6366022,509281760,235685952,325213760,633249393,183225344,119882833920
149,4.79989,0,0,5854157866,5696810136,80760915,75630733,215838,14898780,6419081,513526480,236132736,328427008,647164302,184877024,121042749440
150,4.79931,0,0,5864842491,5714935674,82483039,77303950,219052,15046488,6472071,517765680,236769408,331557120,660957364,186493696,122202664960
151,5.62797,0,0,5936333070,5779854886,84167066,78936793,224396,15199872,6539943,523195440,239801472,334833344,674456300,188258464,123417753600
152,5.05875,0,0,5953477137,5798206777,85849259,80568771,227742,15353317,6594470,527557600,240525248,338047168,687930574,190074752,124632872960
153,5.04301,0,0,5969383120,5808398609,87536394,82205906,231012,15506695,6648297,531863760,241145344,341247168,701444004,191750816,125848012800
