Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
15,498.555,0.198731,0.902949,0.0298549,0.0760323,0.395166,1.404,3.72294,0.0836764,0.571734,0.621845,0.130107,5995.976562
16,368.594,0.199159,0.902849,0.0299191,0.0774241,0.402788,1.41298,3.81246,0.0864657,0.586659,0.620267,0.132293,6364.570312
17,366.436,0.200088,0.9029,0.0301755,0.0769678,0.391517,1.40156,3.70738,0.0849291,0.568165,0.600535,0.128249,6731.005859
18,366.455,0.201318,0.903044,0.0302297,0.0785809,0.38401,1.39586,3.58176,0.0826331,0.55035,0.584963,0.123944,7097.460938
19,358.242,0.200326,0.90316,0.0302737,0.0788989,0.371884,1.38422,3.46699,0.0805888,0.533353,0.573272,0.120059,7455.703125
0,357.461,0.240225,0.916996,0.0348551,0.0622921,0.941112,1.95526,8.81579,0.108977,1.68214,0.87105,0.347065,357.460938
1,349.277,0.211596,0.915803,0.0354824,0.0658886,0.668626,1.6858,6.21042,0.0991456,1.04387,0.758262,0.234426,706.738281
2,350.332,0.202108,0.910521,0.0311286,0.0669208,0.562576,1.57115,5.28069,0.0959463,0.82641,0.726129,0.191755,1057.070312
3,352.09,0.208245,0.907926,0.0285222,0.0686331,0.512741,1.51782,4.77348,0.0952759,0.70564,0.706893,0.170238,1409.160156
4,351.504,0.203124,0.908466,0.0290499,0.0689308,0.472716,1.47916,4.40253,0.0932455,0.638672,0.672704,0.157565,1760.664062
5,288.975,0.206799,0.908215,0.0292482,0.069907,0.459249,1.46662,4.27459,0.0933857,0.615809,0.679667,0.153688,2049.638672
6,475.41,0.20245,0.905621,0.0275001,0.0740817,0.541702,1.5489,5.04496,0.101307,0.820948,0.729084,0.181821,2525.048828
7,333.418,0.200461,0.903985,0.026316,0.0768622,0.565669,1.57283,5.36424,0.108866,0.866758,0.777673,0.189492,2858.466797
8,350.195,0.198734,0.903194,0.02585,0.0792701,0.5755,1.58381,5.51029,0.113593,0.883802,0.820105,0.192186,3208.662109
9,350.195,0.19695,0.903358,0.0259917,0.0756015,0.519586,1.52454,4.96859,0.103316,0.797033,0.742117,0.173498,3558.857422
10,360.557,0.195616,0.904139,0.0262856,0.0754631,0.48678,1.49267,4.65024,0.0977447,0.745872,0.70613,0.162594,3919.414062
11,297.832,0.197844,0.904185,0.0262903,0.0755254,0.462802,1.4688,4.41674,0.0938269,0.70795,0.68369,0.154374,4217.246094
12,297.686,0.19926,0.90518,0.0271964,0.0768242,0.457771,1.46697,4.34971,0.0939582,0.693309,0.684556,0.152883,4514.931641
13,484.023,0.201304,0.904308,0.0265858,0.0747824,0.418157,1.42383,3.96863,0.0873589,0.629552,0.636319,0.13936,4998.955078
