BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
163,44.1791,27.3964,14.1653,1269145600,6827968968,6827968968, 2.2e-05, 2.60061e-05,20.2504, -nan
164,43.1823,28.0298,14.2493,1269186560,6844322615,6844322615, 2.4e-05, 2.59939e-05,20.3875, -nan
165,42.7483,28.316,14.3341,1269258240,6860288187,6860288187, 2.2e-05, 2.59699e-05,20.5251, -nan
166,43.0946,28.0893,14.4164,1269299200,6876858815,6876858815, 2.2e-05, 2.59461e-05,20.6602, -nan
167,42.1731,28.7031,14.5015,1269299200,6896573909,6896573909, 2.3e-05, 2.59286e-05,20.7852, -nan
168,42.1365,30.3315,14.5952,1340149760,6965536327,6965536327, 2.3e-05, 2.59112e-05,20.7718, -nan
169,45.4412,28.1281,14.6748,1340262400,6988957833,6988957833, 2.4e-05, 2.59e-05,20.8939, -nan
170,44.181,28.9313,14.7581,1340303360,7010209846,7010209846, 2.2e-05, 2.58772e-05,21.0218, -nan
171,43.8207,29.1701,14.8419,1340344320,7030662830,7030662830, 2.4e-05, 2.58663e-05,21.1513, -nan
172,42.9666,29.7506,14.9281,1340375040,7050347665,7050347665, 2.8e-05, 2.58786e-05,21.2823, -nan
173,42.9703,29.748,15.0133,1340375040,7069400328,7069400328, 2.1e-05, 2.58506e-05,21.4146, -nan
174,43.1324,29.6367,15.0968,1340395520,7089205435,7089205435, 2e-05, 2.58171e-05,21.5438, -nan
175,42.4458,30.1165,15.1822,1340416000,7109777722,7109777722, 2.6e-05, 2.58182e-05,21.67, -nan
176,40.6904,31.8274,15.2762,1357977600,7167715955,7167715955, 2.9e-05, 2.58362e-05,21.6843, -nan
177,43.6796,29.6499,15.357,1358008320,7190081344,7190081344, 2.4e-05, 2.58258e-05,21.8057, -nan
178,43.1194,30.0367,15.439,1358080000,7211560951,7211560951, 2.4e-05, 2.58156e-05,21.9291, -nan
179,42.4528,30.51,15.5227,1358151680,7231750371,7231750371, 2.6e-05, 2.58167e-05,22.0557, -nan
180,41.7625,31.0154,15.6083,1358202880,7251984560,7251984560, 2e-05, 2.57845e-05,22.1814, -nan
181,41.4635,31.2401,15.6942,1358243840,7271745493,7271745493, 2.3e-05, 2.57692e-05,22.308, -nan
182,41.5786,31.1543,15.7787,1358274560,7290554104,7290554104, 2.7e-05, 2.5776e-05,22.4367, -nan
183,41.1184,31.5035,15.8641,1358295040,7309149777,7309149777, 2.3e-05, 2.57609e-05,22.5655, -nan
184,41.3674,31.3145,15.9476,1358325760,7331020057,7331020057, 2.4e-05, 2.57514e-05,22.6834, -nan
185,40.4777,32.2976,16.0356,1370839040,7395251861,7395251861, 2.3e-05, 2.57366e-05,22.6718, -nan
186,42.6239,30.6718,16.1138,1370859520,7417330268,7417330268, 2.5e-05, 2.57326e-05,22.7891, -nan
187,41.4876,31.5149,16.1957,1370992640,7437398557,7437398557, 1.9e-05, 2.56968e-05,22.912, -nan
188,40.7438,32.0907,16.2798,1371013120,7458049311,7458049311, 3.2e-05, 2.57302e-05,23.0323, -nan
189,40.8936,31.9742,16.3624,1371054080,7480300826,7480300826, 2.3e-05, 2.57158e-05,23.1471, -nan
190,40.6398,32.1745,16.4452,1371084800,7499526438,7499526438, 2.6e-05, 2.57173e-05,23.2706, -nan
191,40.0491,32.6501,16.5296,1371125760,7518240891,7518240891, 2.4e-05, 2.57083e-05,23.395, -nan
192,40.0402,32.6581,16.6132,1371156480,7537851212,7537851212, 2.2e-05, 2.56891e-05,23.5161, -nan
193,40.3645,32.3962,16.6946,1371176960,7558300961,7558300961, 2.5e-05, 2.56856e-05,23.6339, -nan
194,37.7792,34.7558,16.7872,1376829440,7618932385,7618932385, 2e-05, 2.56564e-05,23.6265, -nan
195,41.3788,31.6989,16.8633,1375375360,7640789112,7640789112, 2.3e-05, 2.56429e-05,23.7389, -nan
196,40.7586,32.1817,16.941,1375395840,7661889830,7661889830, 2.6e-05, 2.56447e-05,23.8531, -nan
197,40.2094,32.6234,17.0202,1375488000,7688869488,7688869488, 2.4e-05, 2.56364e-05,23.9483, -nan
198,39.658,33.0775,17.1009,1375508480,7707636283,7707636283, 2.5e-05, 2.56332e-05,24.0684, -nan
199,39.483,33.2249,17.1815,1375539200,7726690955,7726690955, 2.2e-05, 2.5615e-05,24.1871, -nan
200,39.503,33.209,17.2613,1375580160,7745781367,7745781367, 2.4e-05, 2.5607e-05,24.3051, -nan
201,39.2152,33.453,17.3414,1375590400,7766418377,7766418377, 2.4e-05, 2.5599e-05,24.4176, -nan
202,38.2742,34.8296,17.4276,1397831680,7826360026,7826360026, 2.2e-05, 2.55813e-05,24.4092, -nan
203,40.7287,32.7311,17.5026,1397852160,7848805427,7848805427, 2.1e-05, 2.55588e-05,24.5175, -nan
204,39.7843,33.5096,17.5807,1397913600,7869590967,7869590967, 2.2e-05, 2.55415e-05,24.6304, -nan
205,39.5912,33.6742,17.6588,1397964800,7889784866,7889784866, 2.1e-05, 2.55194e-05,24.7445, -nan
206,39.8138,33.4872,17.7353,1398016000,7909322432,7909322432, 2.1e-05, 2.54976e-05,24.8601, -nan
207,38.6258,34.5181,17.8159,1398056960,7928025435,7928025435, 3e-05, 2.55192e-05,24.9778, -nan
208,38.9618,34.2215,17.8944,1398097920,7948591026,6818482675,14961.3,71.585,29.2474,9808.42
,,,,,,,,,,
,,,,,,,,,,
,,´óÓÚ5000,0,,,,,,,
