BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, InlineBackupTime(ms), OfflineBackupTime(ms)
85, 269.572, 1.22264, 1.49518, 345600000, 2272653284, 2262966566, 14.8781, 21.5061, 13.859, 17.485, 104.69, 
86, 332.657, 0.986904, 1.48934, 344248320, 2278627238, 2268135831, 16.5714, 21.4493, 13.9792, 20.139, 174.848, 
87, 359.035, 0.914723, 1.48281, 344371200, 2278543540, 2269245753, 12.4219, 21.3468, 14.1241, 15.281, 109.496, 
88, 551.485, 0.621936, 1.47314, 359649280, 2269266139, 2269257305, 0.09808, 21.108, 14.2826, 3.477, 90.894, 
89, 412.293, 0.838821, 1.46609, 362639360, 2284815854, 2283914829, 2.23848, 20.8983, 14.3497, 11.583, 14.392, 
90, 413.836, 0.833663, 1.45914, 361758720, 2295292106, 2292704934, 2.08859, 20.6916, 14.4525, 22.75, 51.645, 
91, 450.966, 0.766453, 1.45161, 362434560, 2301282553, 2295989128, 3.23385, 20.5019, 14.5896, 7.718, 69.999, 
92, 258.242, 1.33902, 1.4504, 362588160, 2325441666, 2316285676, 10.8908, 20.3985, 14.6183, 15.718, 73.08, 
93, 316.303, 1.09304, 1.4466, 362526720, 2328707652, 2320854607, 13.4473, 20.3246, 14.7458, 19.703, 158.528, 
94, 559.254, 0.618046, 1.43788, 362434560, 2320861461, 2320861461, 0.011341, 20.1108, 14.9019, 3.491, 160.696, 
